OrderID,OrderDate,ShipDate,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,ProductID,ProductCategory,SubCategory,ProductName,Sales,Quantity,Discount,Profit,ShippingCost,PaymentMethod,CustomerRating
103985,2022-03-26,2023-06-06,2191,Bob Smith,Undefined,,Madrid,BC,41008,Unknown,3688,Books,Phones,Office Chair,1575,16,50,,,Bank Transfer,
105550,2023-12-21,2023-03-15,2865,Eve Black,Home Office,Canada,InvalidCity,ON,98310,East,3225,,Phones,,3705,9,5,,0,PayPal,1
102313,2022-04-21,2022-11-03,2672,Charlie Brown,Home Office,Unknown,InvalidCity,NY,78040,Unknown,3354,Electrnics,Lamps,Office Chair,2499,18,10,-500,500,Bank Transfer,3
103092,2022-04-15,2023-09-26,2805,David White,Undefined,Canada,New York,CA,21721,Central,3586,Electrnics,Lamps,iPhone 14,1371,10,110,-500,,Cash,-1
102460,2023-10-07,2022-12-26,2212,,Consumer,Germany,Berlin,Undefined,43484,,3602,Electronics,Binders,iPhone 14,3360,3,,500,,PayPal,-1
108837,2023-03-15,2023-08-18,2233,Alice Johnson,,USA,Madrid,CA,52646,South,3452,Toys,Phones,Office Chair,3300,11,0,100,10,,3
102914,2022-06-28,2023-01-07,2664,David White,Corporate,Spain,Berlin,ON,44953,Central,3780,Office Supplies,Binders,Desk Lamp,3794,4,-10,,100,Bank Transfer,2
100096,2023-01-02,2022-07-11,2003,Charlie Brown,,USA,,BC,80231,Unknown,3478,,Lamps,Gaming Table,2009,19,,,100,,6
103043,2022-09-17,2023-08-09,2670,Eve Black,Home Office,Spain,Toronto,FL,36753,Central,3199,Office Supplies,IncorrectCat,Gaming Table,1678,2,10,0,10,Crypto,
102231,2023-11-12,2023-12-20,2921,Bob Smith,Small Business,USA,Berlin,TX,43769,,3877,,,Office Chair,2254,18,110,-500,0,Cash,4
106414,2023-08-01,2023-05-11,2679,Charlie Brown,,USA,InvalidCity,FL,21723,East,3499,Home Decor,Binders,Gaming Table,1163,4,0,,10,Bank Transfer,100
101862,2023-11-11,2022-02-04,2134,Charlie Brown,Consumer,,New York,TX,55818,,3475,Home Decor,Phones,Office Chair,4444,-3,50,-500,5,Bank Transfer,-1
106668,2022-06-22,2023-06-08,2214,Charlie Brown,Home Office,,Madrid,TX,74260,,3769,Furniture,,Desk Lamp,4741,-2,0,-100,0,Crypto,4
101049,2023-05-29,2022-04-10,2925,,Corporate,Canada,,FL,18094,South,3052,Electrnics,,Binder Set,4791,,110,0,10,Cash,1
105722,2023-07-17,2022-04-16,2508,Eve Black,Small Business,France,InvalidCity,Undefined,42361,West,3699,Electronics,IncorrectCat,Gaming Table,2460,-4,50,,100,Bank Transfer,
105996,2022-10-07,2023-05-15,2205,,Home Office,Unknown,Paris,FL,13921,West,3139,Books,IncorrectCat,Desk Lamp,-87,18,5,500,100,Crypto,6
107168,2022-11-01,2023-01-12,2611,Charlie Brown,Undefined,Canada,,BC,34819,Unknown,3834,Office Supplies,Binders,Gaming Table,2813,17,110,-500,100,,
101625,2023-01-09,2022-01-05,2121,Charlie Brown,,Spain,New York,,99126,Central,3387,Home Decor,Tables,Desk Lamp,2403,,0,0,10,Crypto,1
108569,2023-03-20,2023-10-29,2552,Bob Smith,Consumer,USA,Paris,BC,82208,,3906,Electronics,Phones,Gaming Table,4477,19,110,-500,5,Credit Card,1
109072,2023-09-11,2022-04-12,2855,Bob Smith,Small Business,USA,Toronto,FL,22946,West,3848,Electronics,Chairs,,1957,2,10,500,100,PayPal,5
